"USER_CODE";"USER_NAME";"REG_NO";"START_DATE";"END_DATE";"ADDRESS";"WEARH_ADDRESS";"SALES_PLACE";"LICENCE_TYPE";"DRINKS";"SALE_DAYS";"SALES_START";"SALES_END";"SALE_DAYS_ADDITIONAL";"SALE_START_ADDITIONAL";"SALE_END_ADDITIONAL";"X_KOORD";"Y_KOORD";"WGS_ILGUMA";"WGS_PLATUMA";"STREET_ID";"HOUSE_NR";"SENIUN_NR"
"124517174";"Malinovskio";"103K00";"2001-03-01";;"Nr. 18 gr. Nr. 1 Parko g.";"Nr. 18 gr. Nr. 1 Parko g.";"Kioskas";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"";"";"";"";"";"";;;;;;;
"2462376";"J. Klimuk";"104K00";"2001-02-23";;"Nr. 2 prie AB Venta Ateities g.";"Nr. 2 prie AB Venta Ateities g.";"Kioskas";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"";"";"";"";"";"";;;;;;;
"2543175";"Ovsirunas";"145V00";"2001-03-06";;"Verkių g. 50";"";"Kavinė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6065505";"583436";"25.295070";"54.718990";"607";"50";"2"
"133530651";"Bagajevos prekybos firma";"147V00";"2001-03-12";;"Sodų g. 24a-7";"";"Kavinė";"mažmeninė prekyba alkoholiniais gėrimais";"";"I-VII";"00:00";"24:00:00";"";"";"";"6059874";"569649";"25.079770";"54.670500";"513";"24";"21"
"124078147";"Teomas";"152V00";"2001-03-13";;"Tilto g. 13";"";"Kavinė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6061999";"582801";"25.284220";"54.687600";"543";"13";"16"
"2214634";"N. ir J. Šimulynų Junelė";"153V00";"2001-03-13";;"Žemynos g. 26";"";"Kavinė-baras Šimo baras";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6066160";"579410";"25.232770";"54.725530";"687";"26";"7"
"1074499";"Lichua";"154V00";"2001-03-13";;"Nemenčinės pl. 13a";"";"Restoranas Nakties paukštė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6066672";"585667";"25.330030";"54.729100";"369";"13";"13"
"210562580";"Lay Baltija";"157V00";"2001-03-14";;"Klaipėdos g. 2/14";"Polocko g. 6, Vilnius";"Prieskonių svetainė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6061364";"582414";"25.278040";"54.681960";"243";"2";"16"
"2218056";"Butovič";"090P00";"2001-03-02";;"Prūsų g. 30";"";"Parduotuvė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6059140";"581525";"25.263640";"54.662130";"433";"30";"19"
"124843736";"G. Miciūnienės";"091P00";"2001-03-06";;"Ramybės g. 4";"";"Parduotuvė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6060302";"583685";"25.297440";"54.672210";"447";"4";"15"
"2292352";"Guava";"092P00";"2001-03-06";;"Medeinos g. 10";"";"Parduotuvė Guava";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6066611";"579078";"25.227740";"54.729630";"330";"10";"7"
"2132991";"Jono Jurgilo";"094P00";"2001-03-08";;"P. Vileišio g. 12";"";"Parduotuvė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6063291";"584271";"25.307390";"54.698970";"379";"12";"13"
"123715317";"Rimi Lietuva";"096P00";"2001-03-19";;"Žirmūnų g. 106";"Žarijų g. 2a";"Prekybos centras PC-31";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6066256";"583712";"25.299570";"54.725690";"694";"106";"2"
"2453136";"ESMIGA";"156K00";"2001-04-12";;"Justiniškių turgavietėje";"";"Kioskas Nr. 20";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"";"";"";"";"";"";;;;;;;
"122978094";"Žirairė";"158K00";"2001-04-13";;"Įsruties g. 14A,Vilnius";"Įsruties g. 14A,Vilnius";"Paviljonas";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"";"";"";"";"";"";;;;;;;
"122978094";"Žirairė";"159K00";"2001-04-13";;"Asanavičiūtės g. prie namao Nr. 29";"";"Kioskas Nr. 5";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"";"";"";"";"";"";;;;;;;
"122487750";"Rimos Prokopavičienės";"133K00";"2001-03-23";;"Erfurto g. prie namo Nr. 21";"";"Kioskas Nr. 1";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"";"";"";"";"";"";;;;;;;
